,agency,bias,factual
0,abc,-1,4
1,aljazeera,-1,2
2,ap,0,5
3,atlantic,-1,4
4,axios,-1,4
5,bbc,-1,4
6,blaze,3,2
7,breitbart,3,2
8,businessinsider,-1,4
9,cbs,-1,4
10,cnn,-2,2
11,dailybeast,-2,2
12,dailykos,-3,2
13,dailymail,3,1
14,dailywire,2,2
15,foreignpolicy,0,4
16,fox,2,2
17,guardian,-1,2
18,hill,0,3
19,huffpost,-2,2
20,intercept,-2,3
21,jacobin,-2,4
22,motherjones,-2,4
23,msnbc,-2,2
24,nbc,-1,4
25,newyorker,-2,4
26,npr,-1,5
27,nypost,1,2
28,nyt,-1,4
29,politico,-1,4
30,reuters,0,5
31,salon,-2,3
32,slate,-2,4
33,tbt,-1,4
34,telegraph,2,2
35,time,-1,4
36,usa,-1,4
37,vanityfair,-2,3
38,vice,-1,3
39,vox,-2,3
40,wapo,-1,3
41,nationalreview,2,3
